MRR = 0.2196, NDCG = 0.3083, loss = 0.2489
MRR = 0.2209, NDCG = 0.3092, loss = 0.2480
MRR = 0.2179, NDCG = 0.3059, loss = 0.2472
MRR = 0.2186, NDCG = 0.3077, loss = 0.2465
MRR = 0.2159, NDCG = 0.3048, loss = 0.2459
MRR = 0.2193, NDCG = 0.3092, loss = 0.2453
MRR = 0.2209, NDCG = 0.3091, loss = 0.2448
MRR = 0.2201, NDCG = 0.3089, loss = 0.2443
MRR = 0.2159, NDCG = 0.3042, loss = 0.2439
MRR = 0.2207, NDCG = 0.3098, loss = 0.2435
