MRR = 0.2010, NDCG = 0.2884, loss = 0.2684
MRR = 0.2020, NDCG = 0.2897, loss = 0.2679 
MRR = 0.2016, NDCG = 0.2882, loss = 0.2674 
MRR = 0.2007, NDCG = 0.2885, loss = 0.2670 
MRR = 0.2019, NDCG = 0.2897, loss = 0.2666 
MRR = 0.2028, NDCG = 0.2901, loss = 0.2663 
MRR = 0.2022, NDCG = 0.2897, loss = 0.2660
MRR = 0.2026, NDCG = 0.2913, loss = 0.2658 
MRR = 0.2026, NDCG = 0.2906, loss = 0.2656 
MRR = 0.2028, NDCG = 0.2903, loss = 0.2653
