MRR = 0.1275, NDCG = 0.1595, loss = 0.3471
MRR = 0.1381, NDCG = 0.1756, loss = 0.3110 
MRR = 0.1507, NDCG = 0.1933, loss = 0.2943 
MRR = 0.1607, NDCG = 0.2055, loss = 0.2838
MRR = 0.1663, NDCG = 0.2121, loss = 0.2777 
MRR = 0.1669, NDCG = 0.2134, loss = 0.2745 
MRR = 0.1709, NDCG = 0.2178, loss = 0.2724 
MRR = 0.1719, NDCG = 0.2190, loss = 0.2710 
MRR = 0.1729, NDCG = 0.2204, loss = 0.2699 
MRR = 0.1732, NDCG = 0.2207, loss = 0.2691
